N,P,K,temperature,humidity,ph,rainfall,label
128,129,196,44.62,19.09,7.21,142.8,muskmelon
9,18,18,37.55,28.71,5.22,25.57,muskmelon
37,128,57,25.58,28.91,6.79,78.66,muskmelon
9,93,203,30.42,70.22,6.21,285.26,muskmelon
136,98,66,29.64,67.3,9.56,233.88,muskmelon
12,23,12,44.25,86.35,7.65,94.31,muskmelon
10,104,109,13.6,78.76,4.39,43.54,muskmelon
45,73,74,41.35,47.71,4.23,90.28,muskmelon
95,128,189,18.59,43.44,4.65,240.62,muskmelon
56,122,129,40.91,83.5,4.58,75.81,muskmelon
138,81,151,25.2,73.42,7.34,144.9,muskmelon
124,111,12,36.69,28.8,7.62,74.33,muskmelon
75,17,178,38.48,56.29,7.76,266.78,muskmelon
96,67,39,41.68,70.35,3.59,199.14,muskmelon
66,29,100,23.39,44.31,5.9,74.47,muskmelon
54,13,99,21.93,50.47,8.13,206.19,muskmelon
50,134,130,33.92,88.55,6.59,165.73,muskmelon
129,52,190,39.59,93.01,7.2,260.25,muskmelon
18,112,117,30.8,53.0,5.74,35.64,muskmelon
60,77,140,39.59,54.13,7.16,251.21,muskmelon
104,69,54,25.82,63.43,8.48,154.23,muskmelon
31,81,135,32.86,78.3,6.81,251.57,muskmelon
122,85,98,43.66,75.13,9.09,267.69,muskmelon
39,136,150,28.62,97.81,7.06,29.25,muskmelon
99,39,165,38.78,41.09,7.0,31.02,muskmelon
131,67,195,31.22,35.21,4.98,39.7,muskmelon
134,93,72,20.31,47.56,6.92,122.76,muskmelon
88,79,99,10.08,49.72,8.77,66.57,muskmelon
82,55,100,14.44,18.44,4.92,78.87,muskmelon
63,8,73,32.82,99.27,7.03,237.33,muskmelon
42,10,190,38.67,56.17,7.2,86.34,muskmelon
31,105,187,19.62,15.41,3.66,82.22,muskmelon
38,131,154,17.49,26.04,7.64,62.21,muskmelon
7,77,37,26.61,44.72,8.99,73.3,muskmelon
60,21,147,22.0,64.5,7.55,252.15,muskmelon
125,11,190,36.46,73.27,8.5,267.77,muskmelon
109,122,111,24.74,78.99,6.74,291.81,apple
93,33,173,28.87,28.99,5.98,263.22,apple
30,131,106,26.51,75.48,5.47,170.1,apple
116,91,199,29.27,89.73,3.55,273.22,apple
86,84,165,22.16,93.6,9.9,170.35,apple
105,56,7,41.73,21.57,5.45,188.68,apple
40,18,80,34.18,97.91,9.81,146.96,apple
134,76,204,32.04,94.82,9.08,100.69,apple
97,92,53,37.23,14.2,7.22,294.13,apple
39,39,99,23.39,74.5,7.38,56.08,apple
25,81,65,12.86,67.51,9.34,103.06,apple
102,15,128,22.54,90.59,3.75,260.12,apple
131,36,58,17.46,89.93,4.31,272.81,apple
43,49,28,40.82,59.32,4.06,151.38,apple
136,20,33,35.64,39.76,8.17,151.89,apple
73,118,199,38.73,97.51,8.42,162.56,apple
36,76,147,40.96,92.64,4.73,53.59,apple
98,108,163,26.35,18.9,7.4,255.56,apple
107,50,184,18.96,87.15,5.38,181.52,apple
124,65,160,37.91,66.55,9.81,207.39,apple
75,110,59,15.54,19.22,7.0,206.32,apple
105,102,31,34.42,16.13,8.16,170.24,apple
127,143,107,14.18,69.95,8.77,159.58,apple
123,24,138,34.93,46.65,6.97,252.27,apple
137,52,51,21.74,24.99,5.92,223.05,apple
127,14,125,33.52,29.09,5.31,32.4,apple
53,110,95,10.4,72.35,8.62,53.54,apple
41,95,150,22.63,76.07,6.22,173.06,apple
128,66,87,19.29,25.71,6.05,134.24,apple
80,129,93,30.08,54.5,6.39,156.94,apple
78,123,175,40.47,34.62,7.34,143.81,apple
139,9,195,17.62,27.16,9.72,138.28,apple
10,86,158,37.55,18.33,5.07,272.06,apple
68,108,120,26.18,78.18,4.97,69.48,apple
13,23,7,44.08,98.28,9.64,113.2,apple
65,142,21,23.23,20.01,8.52,159.28,apple
113,139,144,13.96,85.4,7.73,158.8,apple
37,97,6,15.3,35.16,4.72,260.93,apple
133,84,134,39.92,28.13,4.46,277.07,apple
136,118,123,40.91,17.24,6.51,217.22,apple
92,54,133,42.34,70.12,5.44,36.82,apple
23,105,203,21.07,88.67,8.74,195.07,apple
65,136,75,18.84,25.46,4.18,32.37,apple
87,62,168,33.97,44.8,9.83,184.74,apple
87,66,136,44.22,95.66,9.27,254.42,apple
14,24,193,37.97,91.81,5.93,212.99,apple
128,66,53,41.57,95.59,7.03,111.31,apple
48,117,113,43.97,85.49,4.75,119.68,apple
133,8,158,17.4,73.49,5.02,46.73,apple
112,117,118,16.98,25.18,9.5,76.79,apple
42,112,191,24.74,89.97,4.2,160.1,apple
28,36,156,20.19,35.43,9.42,96.56,apple
108,130,30,34.07,18.99,8.06,42.31,apple
61,42,59,24.25,70.8,7.01,285.02,apple
111,59,73,37.88,47.21,8.9,267.28,apple
10,81,149,16.85,97.99,5.59,234.45,apple
84,77,26,26.63,92.07,8.26,78.77,apple
89,38,33,10.83,98.77,5.33,176.72,apple
89,90,146,23.47,36.46,7.7,253.26,apple
60,23,87,23.62,14.41,7.63,233.96,apple
44,53,192,36.62,67.58,6.12,107.31,apple
24,109,39,11.62,16.93,9.7,41.2,apple
93,116,29,20.35,97.67,5.89,60.06,apple
51,108,96,31.5,71.24,6.44,236.86,apple
22,46,120,32.76,35.33,6.13,226.95,apple
105,76,47,24.75,49.29,8.52,104.27,apple
49,121,177,42.74,16.31,8.85,240.36,apple
35,99,93,42.87,61.85,8.92,106.7,apple
80,86,60,14.0,79.95,6.16,206.35,apple
67,9,52,26.78,28.33,4.82,92.48,apple
111,60,195,42.2,28.1,6.3,259.53,apple
69,22,198,24.5,18.8,7.59,263.88,apple
43,20,144,22.73,91.57,6.57,232.0,apple
42,60,64,15.72,29.32,9.53,118.73,apple
59,132,94,17.44,75.17,4.62,77.73,apple
71,129,16,28.99,74.69,8.96,32.24,apple
21,39,68,36.64,32.08,4.94,82.18,apple
98,9,124,34.65,59.28,9.41,100.64,apple
56,9,102,39.4,47.13,7.17,208.32,apple
73,134,106,39.62,46.56,4.54,112.98,apple
55,89,185,35.51,31.74,9.15,77.6,apple
129,127,104,20.27,78.92,4.15,253.15,apple
18,23,109,11.94,71.41,6.14,55.48,apple
105,94,200,23.37,85.02,6.15,99.57,apple
25,120,42,13.27,71.11,7.58,151.77,apple
36,7,38,23.05,31.07,4.49,299.55,apple
135,55,160,18.34,27.81,8.61,299.65,apple
111,43,133,12.99,68.08,6.37,189.55,apple
89,80,130,38.73,50.22,4.5,99.86,apple
106,95,140,30.3,22.64,8.9,296.78,apple
70,26,104,26.35,39.52,9.3,292.66,apple
102,46,51,26.6,20.73,6.31,201.1,apple
1,9,187,16.57,68.81,6.54,235.36,apple
102,64,143,30.06,29.55,3.65,83.09,apple
98,104,144,21.29,18.44,4.87,297.38,apple
120,135,145,34.75,66.39,6.83,286.48,apple
127,7,92,42.91,59.96,7.92,239.6,apple
12,21,56,37.6,67.5,8.91,64.32,apple
49,26,184,28.12,79.93,5.08,66.34,apple
76,128,112,20.77,52.11,3.59,111.75,apple
76,75,192,40.88,33.64,9.65,205.89,orange
31,114,90,29.42,53.91,4.0,288.79,orange
137,133,87,33.71,52.73,5.22,72.55,orange
48,142,110,24.43,28.33,6.04,135.36,orange
133,42,88,33.31,28.4,6.27,112.89,orange
37,49,184,28.71,22.36,5.38,142.18,orange
108,14,140,10.81,49.35,7.55,196.51,orange
38,26,40,13.5,36.78,9.49,25.58,orange
105,128,116,44.87,84.91,6.36,71.18,orange
47,101,89,37.93,38.19,9.85,128.38,orange
120,62,135,42.49,89.02,3.82,63.84,orange
93,12,171,32.38,56.17,4.25,178.5,orange
39,32,56,20.74,32.5,9.66,22.59,orange
75,86,155,36.96,81.58,7.4,73.04,orange
84,94,126,19.77,70.83,9.07,234.7,orange
44,15,79,29.52,91.82,8.1,67.07,orange
99,66,110,15.85,31.06,5.27,244.84,orange
60,27,197,12.03,47.6,7.84,274.77,orange
65,40,39,23.56,14.22,9.69,229.51,orange
88,120,11,31.28,68.77,4.01,244.86,orange
139,135,80,35.71,88.93,8.68,244.51,orange
123,123,12,38.76,50.95,8.55,214.38,orange
1,5,37,36.9,26.92,8.61,267.32,orange
83,5,18,15.34,83.38,7.74,109.07,orange
119,66,124,39.82,23.93,6.18,152.33,orange
45,130,13,26.9,76.61,9.16,51.76,orange
45,132,200,12.25,62.21,8.61,64.01,orange
22,75,119,35.36,69.54,4.85,285.22,orange
37,26,90,29.56,79.18,5.65,218.69,orange
12,85,17,15.49,68.24,7.67,179.36,orange
49,91,14,32.0,67.16,6.72,205.5,orange
104,61,14,12.61,61.91,4.4,201.74,orange
0,96,128,20.99,93.98,9.71,78.4,orange
29,19,161,24.29,70.72,8.09,263.1,orange
54,52,72,39.13,87.48,4.18,97.96,orange
64,11,125,17.97,47.72,9.05,204.6,orange
85,107,148,26.69,61.28,7.39,240.23,orange
115,18,94,32.78,35.03,7.08,51.96,orange
44,7,24,26.92,29.55,8.73,237.27,orange
63,92,57,16.46,74.0,7.38,97.74,orange
7,91,21,24.33,64.25,9.67,156.64,orange
13,118,98,25.45,47.36,9.59,55.93,orange
16,111,164,25.75,81.86,9.0,221.25,orange
55,56,141,31.27,73.0,6.84,288.83,orange
99,138,165,15.08,32.31,7.94,123.19,orange
9,57,20,42.45,92.56,3.56,54.66,orange
92,112,156,30.97,53.16,4.14,39.56,orange
96,62,114,15.92,32.76,8.49,235.96,orange
34,139,52,35.06,26.19,8.81,138.24,orange
122,123,15,10.12,63.81,7.05,229.85,orange
109,95,73,36.71,45.28,6.27,256.92,orange
64,17,190,34.94,88.55,8.09,257.04,orange
121,132,26,19.53,84.9,8.1,71.63,orange
75,91,158,26.7,41.92,7.85,35.98,orange
62,116,111,38.5,40.75,8.15,264.4,orange
108,62,82,21.54,28.22,6.81,213.57,orange
21,112,145,21.75,80.25,6.46,257.3,orange
106,103,74,13.48,40.31,7.15,95.02,orange
30,38,45,24.45,68.12,6.56,207.95,orange
28,78,48,14.09,72.44,5.14,92.23,orange
43,90,13,16.9,73.66,6.87,96.59,orange
113,25,112,18.2,59.71,3.67,211.62,orange
77,129,170,20.21,57.82,4.18,94.51,orange
108,27,110,27.37,41.33,7.14,188.17,orange
88,98,194,22.16,95.12,5.18,201.86,orange
39,81,96,18.53,68.87,8.12,193.23,orange
34,81,89,17.36,48.33,9.48,75.3,orange
125,6,72,39.92,45.11,9.85,191.08,orange
70,13,63,36.19,28.84,5.73,148.89,orange
124,136,146,20.06,85.6,5.36,128.11,orange
43,121,141,24.01,72.93,5.17,148.67,orange
118,83,187,36.75,75.64,5.23,216.28,orange
7,140,176,27.93,97.58,6.97,151.44,orange
8,105,70,24.16,89.55,9.32,253.45,orange
73,133,146,25.31,54.48,6.92,241.82,orange
45,59,27,11.15,64.95,8.7,26.45,orange
6,128,39,23.97,16.15,9.27,211.27,orange
83,32,154,38.41,65.55,5.86,26.85,orange
131,73,154,18.9,99.93,7.52,229.92,orange
44,27,89,14.89,41.46,5.54,23.33,orange
86,9,30,34.45,36.41,7.86,283.26,orange
74,51,25,13.72,70.81,7.21,184.08,orange
125,137,102,34.92,70.15,6.14,235.14,orange
55,84,89,13.29,79.34,8.09,169.37,orange
112,73,62,36.78,88.24,7.91,231.49,orange
102,130,77,27.24,57.45,5.72,106.6,orange
47,37,55,35.69,73.54,5.64,294.43,orange
130,90,173,21.5,92.19,7.83,107.84,orange
128,93,113,11.72,86.12,5.65,183.2,orange
67,86,22,28.99,19.18,5.77,247.62,orange
47,17,125,22.64,32.27,4.48,82.44,orange
59,99,137,27.53,75.94,8.27,136.91,orange
26,45,28,25.64,67.74,7.6,84.83,orange
5,46,145,21.66,48.48,4.43,226.08,orange
101,74,158,12.93,20.23,6.63,72.36,orange
78,88,119,32.84,97.08,7.87,22.34,orange
107,14,157,11.63,33.87,6.52,203.72,orange
115,142,30,26.8,21.95,4.3,98.82,orange
18,70,161,29.14,25.39,6.4,245.27,orange
104,109,153,10.93,61.83,8.29,116.29,orange
63,44,40,29.19,45.55,4.42,110.29,papaya
126,74,41,43.25,61.91,7.86,297.02,papaya
61,134,147,13.77,96.63,8.3,228.59,papaya
109,130,144,14.65,85.73,8.36,197.71,papaya
77,19,202,23.37,91.15,3.65,60.32,papaya
22,96,58,37.64,73.13,5.46,42.33,papaya
33,21,158,35.35,59.1,3.51,84.89,papaya
1,68,126,34.78,54.05,9.34,133.4,papaya
10,111,144,26.44,36.48,3.7,96.96,papaya
99,90,73,11.32,95.76,9.82,34.78,papaya
130,104,158,40.16,55.98,3.69,71.57,papaya
74,33,55,12.1,20.19,9.07,269.63,papaya
99,129,77,28.05,68.17,9.82,36.07,papaya
79,31,99,29.97,64.14,5.92,216.7,papaya
123,94,18,20.47,42.95,7.82,30.1,papaya
92,111,156,24.31,49.58,7.97,127.06,papaya
119,93,36,14.06,76.37,8.33,193.76,papaya
52,47,21,12.52,17.22,6.8,229.45,papaya
77,25,170,24.83,75.82,5.79,196.65,papaya
73,71,124,30.39,82.34,4.56,36.42,papaya
36,41,55,40.18,66.26,8.04,280.93,papaya
18,139,167,41.25,35.8,8.11,209.22,papaya
122,112,151,14.52,17.26,9.03,213.55,papaya
77,110,175,33.5,35.22,7.03,57.05,papaya
11,56,99,12.83,36.07,6.22,236.23,papaya
111,129,30,35.59,98.04,8.62,80.05,papaya
45,91,54,22.14,73.0,7.28,220.11,papaya
99,47,195,12.79,54.96,7.3,219.53,papaya
125,15,124,15.63,42.34,7.06,157.61,papaya
45,43,59,40.25,53.01,9.37,257.75,papaya
121,47,194,14.19,90.56,6.26,41.48,papaya
60,141,138,30.02,18.74,4.47,142.68,papaya
40,114,149,11.73,16.82,6.37,259.9,papaya
21,47,19,43.02,41.49,9.34,180.24,papaya
52,53,104,41.33,43.94,7.19,275.73,papaya
39,27,39,24.43,33.52,7.15,95.24,papaya
64,122,111,24.97,17.58,3.88,176.96,papaya
66,138,183,38.46,99.88,4.76,278.62,papaya
72,91,52,28.63,57.92,3.69,208.53,papaya
86,84,178,36.41,49.09,8.85,213.21,papaya
69,64,107,32.94,17.01,7.1,58.74,papaya
130,81,109,32.78,96.15,8.57,269.56,papaya
4,24,30,15.98,80.78,9.61,268.95,papaya
61,41,78,12.23,63.77,6.88,184.69,papaya
120,71,140,22.2,99.63,5.25,214.76,papaya
73,132,168,22.33,73.28,4.97,183.2,papaya
31,115,118,19.57,39.13,4.91,272.54,papaya
52,50,189,37.13,31.15,4.6,171.55,papaya
10,33,124,15.22,59.32,4.94,141.14,papaya
7,94,196,14.31,45.88,4.38,164.72,papaya
105,136,109,20.7,32.3,7.1,226.32,papaya
7,7,120,30.57,99.27,6.05,222.09,papaya
13,85,47,25.76,40.58,7.94,259.47,papaya
65,93,119,41.31,33.55,3.62,111.13,papaya
11,36,26,38.19,63.4,4.37,286.98,papaya
120,7,174,43.81,83.36,6.09,161.62,papaya
53,83,138,39.67,95.65,8.11,140.03,papaya
75,61,29,39.51,36.25,9.51,286.71,papaya
107,16,91,11.24,32.89,7.67,180.03,papaya
93,99,27,35.39,29.97,6.1,26.46,papaya
6,65,145,12.6,95.0,5.3,97.97,papaya
1,19,40,41.67,73.92,7.03,130.69,papaya
86,23,179,37.48,74.37,9.01,243.29,papaya
110,48,163,18.42,34.54,7.36,156.3,papaya
35,106,118,42.38,26.26,4.24,116.16,papaya
40,68,67,40.71,88.88,9.58,272.82,papaya
77,115,165,37.8,56.41,5.08,153.08,papaya
62,137,145,18.92,88.82,8.47,120.49,papaya
100,114,181,16.8,91.77,7.37,259.73,papaya
20,64,90,23.88,85.21,4.34,186.61,papaya
137,143,176,21.61,23.54,4.16,281.13,papaya
98,91,42,43.71,49.08,6.96,194.58,papaya
36,19,140,23.55,66.3,7.21,53.22,papaya
126,113,135,11.48,30.93,6.94,162.57,papaya
12,77,109,39.38,45.07,5.16,127.09,papaya
28,24,149,44.8,20.04,8.63,61.78,papaya
123,67,9,30.11,43.26,7.61,101.9,papaya
39,93,70,19.37,61.14,7.44,281.32,papaya
28,52,140,41.02,82.34,9.2,57.34,papaya
34,141,30,39.02,38.16,3.74,261.6,papaya
101,7,83,37.1,20.72,6.86,273.72,papaya
132,100,79,25.73,49.76,7.85,49.95,papaya
133,133,23,23.98,46.0,8.69,221.09,papaya
35,88,155,13.49,86.67,4.96,182.35,papaya
24,69,202,22.14,96.48,7.53,95.36,papaya
21,110,16,44.13,16.4,4.56,280.03,papaya
117,113,75,25.23,38.57,4.73,190.48,papaya
121,30,125,18.84,86.24,8.86,43.96,papaya
104,117,49,43.99,32.61,6.21,207.55,papaya
106,38,109,10.82,19.11,4.46,233.92,papaya
102,24,33,28.09,65.37,4.55,158.63,papaya
27,30,115,41.04,59.18,7.57,267.15,papaya
30,19,186,25.72,32.17,8.08,212.13,papaya
137,88,73,15.22,72.77,6.99,251.8,papaya
124,70,137,22.0,84.34,6.67,250.74,papaya
56,30,133,28.48,79.18,9.02,233.86,papaya
66,74,5,13.89,47.89,6.11,22.5,papaya
10,79,61,20.47,76.4,4.98,29.43,papaya
117,75,152,16.67,68.3,8.23,122.21,papaya
45,28,127,23.98,46.44,9.23,109.68,papaya
64,104,11,14.08,81.9,4.36,276.83,coconut
72,78,64,24.92,91.54,8.96,32.56,coconut
43,14,151,18.81,18.48,8.93,130.92,coconut
56,125,161,12.29,32.17,8.91,192.99,coconut
104,54,146,30.09,60.69,7.76,38.72,coconut
69,68,197,39.82,69.49,3.95,151.36,coconut
9,10,80,32.62,55.9,3.77,52.3,coconut
23,86,158,33.86,46.31,9.77,48.07,coconut
120,64,6,12.47,17.52,4.21,251.1,coconut
54,116,201,34.29,42.29,6.39,89.98,coconut
5,36,88,36.29,78.46,9.72,122.3,coconut
78,128,169,32.23,74.11,3.67,58.64,coconut
74,62,74,21.68,58.58,9.71,231.46,coconut
50,138,94,33.61,53.54,5.92,58.61,coconut
34,56,119,21.26,98.57,6.2,217.12,coconut
13,89,149,41.72,98.51,7.54,136.46,coconut
139,131,33,16.69,90.72,9.1,291.18,coconut
63,93,193,29.4,75.82,5.98,262.22,coconut
27,54,20,15.58,20.83,8.96,24.85,coconut
105,89,137,10.07,40.29,4.4,223.1,coconut
50,40,7,42.83,89.09,7.45,23.83,coconut
80,110,46,30.05,79.59,9.21,37.03,coconut
66,143,174,11.49,41.97,5.23,76.76,coconut
70,53,182,39.65,93.34,3.81,86.94,coconut
124,111,129,17.68,65.68,4.96,273.49,coconut
125,11,152,21.22,89.28,9.51,294.72,coconut
65,117,153,15.08,52.32,7.47,156.49,coconut
101,124,158,39.17,71.66,9.11,257.42,coconut
56,99,82,21.28,78.04,4.17,82.18,coconut
52,110,186,20.85,86.86,9.54,92.65,coconut
36,81,26,28.02,91.66,7.47,157.11,coconut
94,85,158,27.6,18.68,3.65,287.62,coconut
88,38,128,26.28,54.0,3.98,81.23,coconut
4,83,184,17.18,79.96,8.74,101.64,coconut
0,9,87,13.59,65.09,5.04,135.66,coconut
13,98,67,39.22,33.58,5.6,206.52,coconut
104,100,152,36.65,99.97,8.11,271.25,coconut
64,99,168,44.1,40.54,6.54,217.54,coconut
34,51,55,31.93,60.1,3.51,103.09,coconut
4,62,113,11.8,19.56,9.24,250.15,coconut
32,33,101,10.48,65.13,4.92,108.66,coconut
44,88,135,23.55,27.79,5.28,175.65,coconut
113,42,53,27.97,86.22,4.13,199.45,coconut
55,33,78,24.59,64.94,5.48,131.75,coconut
21,63,91,27.16,83.03,3.62,119.08,coconut
15,59,36,28.21,66.01,4.81,271.32,coconut
109,68,96,24.28,71.46,3.67,97.77,coconut
11,102,53,39.76,82.31,4.41,192.21,coconut
59,100,5,13.7,38.73,9.79,110.18,coconut
129,94,43,17.95,83.18,5.95,181.58,coconut
68,100,151,18.34,27.95,6.76,129.51,coconut
32,44,184,43.76,88.4,3.91,26.56,coconut
89,79,171,42.42,58.36,8.16,210.28,coconut
136,118,58,12.26,82.07,4.21,76.15,coconut
95,7,96,14.86,71.81,6.22,267.91,coconut
85,85,24,36.95,85.16,7.97,174.14,coconut
135,46,66,23.4,79.94,4.91,76.0,coconut
31,95,44,12.76,59.34,8.11,30.5,coconut
77,120,84,15.65,98.2,8.54,156.15,coconut
59,107,66,33.27,73.46,9.73,161.66,coconut
51,141,43,16.9,94.95,3.86,158.76,coconut
117,17,7,18.43,36.09,7.19,70.52,coconut
39,78,116,39.99,53.2,6.98,78.47,coconut
22,92,73,41.32,79.38,3.53,47.83,coconut
72,11,196,32.79,54.56,3.8,64.3,coconut
69,139,143,24.95,94.5,5.14,264.12,coconut
68,69,71,29.77,98.89,3.88,83.59,coconut
30,72,190,25.5,16.35,7.48,178.83,coconut
19,9,113,39.77,26.06,6.78,128.12,coconut
26,82,184,14.76,40.86,5.88,229.33,coconut
44,144,5,44.12,99.43,6.17,68.72,coconut
71,9,71,13.3,41.52,5.37,225.55,coconut
61,26,195,13.93,35.76,6.06,230.45,coconut
42,40,113,25.86,52.61,7.14,178.74,coconut
23,105,173,39.75,78.48,9.54,49.85,coconut
58,29,120,43.87,92.45,7.98,271.26,coconut
9,92,201,27.15,30.26,4.9,220.61,coconut
129,74,184,32.6,48.33,6.09,138.98,coconut
48,86,96,27.44,83.48,4.63,245.94,coconut
74,14,125,10.29,24.94,7.48,186.67,coconut
103,39,146,29.67,96.54,8.3,290.27,coconut
101,14,12,14.43,33.16,8.32,88.86,coconut
137,5,160,11.33,48.23,8.85,168.84,coconut
52,13,69,25.53,30.71,8.92,253.28,coconut
11,29,76,13.35,49.85,4.81,95.8,coconut
2,62,25,16.65,19.36,8.07,153.79,coconut
121,128,89,10.37,29.81,8.74,180.39,coconut
40,89,52,43.41,35.49,7.35,36.07,coconut
25,57,26,10.3,61.01,4.13,99.4,coconut
100,10,35,11.06,83.54,5.22,129.36,coconut
113,83,108,37.26,82.99,6.82,223.4,coconut
57,107,20,18.56,19.67,6.86,265.14,coconut
108,26,131,15.86,80.38,7.84,151.76,coconut
8,83,186,44.26,43.07,5.77,169.43,coconut
79,56,44,26.44,52.27,4.36,83.57,coconut
103,125,199,21.39,73.78,8.95,236.52,coconut
23,109,109,24.47,74.6,9.03,124.95,coconut
118,55,159,27.21,23.0,4.1,138.42,coconut
67,72,54,43.88,50.87,9.51,146.2,coconut
19,59,155,39.18,82.64,7.04,264.56,coconut
64,104,173,27.93,93.64,4.96,144.92,cotton
22,46,162,24.56,42.02,3.58,116.31,cotton
110,81,109,25.52,92.17,6.91,238.27,cotton
31,6,53,27.12,21.43,8.46,263.39,cotton
28,107,13,44.57,39.29,5.85,175.5,cotton
72,78,142,36.65,25.08,9.58,71.6,cotton
131,24,180,18.92,99.99,9.29,141.35,cotton
124,124,37,11.64,65.81,7.62,117.15,cotton
99,8,41,22.16,58.01,6.73,226.17,cotton
2,113,104,18.37,33.17,6.69,153.55,cotton
50,50,144,14.29,57.18,7.43,25.0,cotton
13,118,163,32.16,46.88,7.42,271.1,cotton
38,79,93,34.41,61.48,7.48,156.97,cotton
47,107,196,10.38,95.25,9.82,107.76,cotton
63,32,152,35.81,85.86,5.31,183.06,cotton
45,78,204,26.87,42.21,7.65,159.95,cotton
56,76,201,27.21,36.89,3.74,266.72,cotton
108,129,110,32.1,69.66,4.77,138.56,cotton
95,132,103,43.01,30.2,8.56,83.77,cotton
45,120,115,44.94,80.03,9.24,24.7,cotton
0,32,156,24.18,31.31,4.53,163.58,cotton
8,65,111,10.91,65.19,7.8,104.7,cotton
88,109,48,39.14,93.96,6.61,295.77,cotton
4,115,93,27.18,88.49,9.3,196.79,cotton
68,83,140,38.7,95.97,4.4,148.55,cotton
76,90,28,43.27,60.79,6.91,182.36,cotton
110,138,47,24.5,82.38,8.57,68.11,cotton
128,126,49,20.35,80.52,6.59,51.58,cotton
55,19,195,27.0,61.81,9.7,205.55,cotton
132,122,128,25.67,86.95,8.68,166.48,cotton
2,18,26,21.01,60.79,8.28,38.33,cotton
1,56,81,13.22,32.91,9.53,116.07,cotton
14,6,186,32.56,53.43,6.09,236.21,cotton
98,60,192,19.23,15.34,8.15,66.52,cotton
31,119,179,23.22,15.02,4.35,295.75,cotton
19,17,41,40.44,62.78,4.11,120.92,cotton
9,118,146,19.46,27.73,9.07,62.44,cotton
80,28,177,42.99,57.09,5.62,91.91,cotton
2,93,41,28.5,57.18,5.04,149.4,cotton
18,46,149,12.45,52.94,9.09,59.03,cotton
26,122,93,23.34,43.75,9.4,49.77,cotton
106,53,164,16.3,36.18,5.59,78.53,cotton
86,68,42,13.47,19.39,8.73,148.97,cotton
128,98,61,33.62,20.02,8.95,216.99,cotton
65,30,175,36.09,91.08,4.59,134.12,cotton
82,94,92,38.67,31.49,8.6,63.5,cotton
124,97,170,23.18,53.62,4.94,252.61,cotton
70,105,119,35.46,34.24,5.64,298.33,cotton
129,137,22,16.8,55.6,7.57,88.02,cotton
120,80,173,44.73,68.05,7.08,26.01,cotton
58,45,38,26.61,73.54,5.17,29.04,cotton
103,30,116,34.6,80.87,9.69,49.9,cotton
26,39,156,17.01,94.09,9.71,139.89,cotton
72,143,161,24.47,24.57,7.19,60.73,cotton
65,132,7,33.12,40.68,9.52,280.81,cotton
45,6,42,23.47,57.04,4.76,61.44,cotton
128,38,113,44.56,71.33,9.18,141.75,cotton
128,115,187,37.14,67.93,9.12,82.74,cotton
114,54,54,34.06,90.78,4.41,247.9,cotton
91,132,131,10.47,61.82,6.74,28.17,cotton
40,77,84,35.7,34.53,7.12,236.27,cotton
29,85,63,43.51,64.71,9.64,283.51,cotton
80,23,121,16.81,28.92,5.78,63.82,cotton
0,68,20,26.34,17.9,9.35,100.0,cotton
97,122,145,24.17,24.5,9.78,185.57,cotton
42,22,148,34.09,65.67,5.57,291.27,cotton
111,99,53,35.42,25.74,5.43,101.15,cotton
28,100,130,32.96,61.17,8.61,165.37,cotton
109,108,110,13.8,18.2,4.91,144.75,cotton
35,94,161,38.03,89.95,4.15,159.55,cotton
103,42,80,22.43,37.94,8.81,292.76,cotton
89,75,136,23.01,27.36,6.68,51.3,cotton
120,30,204,38.59,32.89,9.89,86.44,cotton
48,102,132,38.21,55.59,3.88,41.22,cotton
28,76,70,41.99,90.96,5.33,272.68,cotton
23,67,80,39.91,97.73,3.77,130.2,cotton
42,92,132,43.18,28.28,8.52,63.77,cotton
6,53,99,10.64,51.36,5.24,83.64,cotton
5,15,76,17.67,17.2,9.2,102.97,cotton
53,135,135,39.88,16.9,7.89,185.19,cotton
114,139,101,29.54,99.89,8.48,198.56,cotton
59,64,181,36.84,80.76,3.98,127.78,cotton
55,120,115,41.81,20.09,7.42,90.45,cotton
60,15,115,33.72,94.13,7.09,172.94,cotton
38,67,5,25.86,78.15,8.18,263.54,cotton
26,23,20,17.29,41.13,8.56,137.16,cotton
131,39,117,18.76,59.74,9.67,111.96,cotton
51,29,125,36.4,40.04,6.6,216.2,cotton
116,83,89,28.46,41.25,8.04,234.03,cotton
124,49,145,33.4,82.69,9.19,286.36,cotton
123,34,61,13.86,56.66,7.96,172.04,cotton
82,107,130,32.41,87.49,8.6,72.76,cotton
125,86,81,34.47,41.52,8.52,71.97,cotton
136,58,85,36.44,38.0,6.27,282.72,cotton
74,81,96,12.86,75.56,4.72,247.71,cotton
95,17,152,15.3,65.47,4.77,21.08,cotton
126,135,109,30.1,88.5,4.54,115.25,cotton
64,52,82,39.89,51.29,6.94,298.99,cotton
129,92,177,30.78,67.86,4.67,196.91,cotton
102,48,137,23.27,97.31,5.93,78.07,cotton
111,58,81,30.44,16.37,9.54,40.59,jute
76,9,142,14.88,21.5,4.89,103.63,jute
69,70,131,11.94,16.68,4.3,80.97,jute
92,78,198,16.05,15.93,7.13,199.36,jute
6,94,36,33.98,94.93,7.5,279.37,jute
24,123,65,29.66,17.95,4.0,204.23,jute
